time_seconds,goal,luminusity_7_02.10.047_02.29.381,luminasity_8_02.29.381_02.47.541,luminasity_9_02.47.541_03.07.094,luminasity_10_03.07.094_03.27.266,luminasity_11_03.27.266_03.50.423,luminasity_14_04.39.213_04.59,papillon_1_00.00.000_01.29.318,papillon_2_01.29.318_03.06.429,papillon_4_04.34.344_06.43.645,papillon_5_06.43.645_08.13.352,prism_1_00.00.000_01.28.904,prism_2_01.28.904_02.38.937,prism_3_04.46.624_06.25.707,luminusity_7_02.10.047_02.29.381#2,luminasity_8_02.29.381_02.47.541#2,luminasity_9_02.47.541_03.07.094#2,luminasity_10_03.07.094_03.27.266#2,luminasity_11_03.27.266_03.50.423#2,luminasity_14_04.39.213_04.59#2,papillon_1_00.00.000_01.29.318#2,papillon_2_01.29.318_03.06.429#2,papillon_4_04.34.344_06.43.645#2,papillon_5_06.43.645_08.13.352#2,prism_1_00.00.000_01.28.904#2,prism_2_01.28.904_02.38.937#2,prism_3_04.46.624_06.25.707#2
3.5500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3890,0.0000,0.0000,0.0000,0.0000,0.0000,1.4704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9435,0.0000,0.0000,0.0000,0.0000,1.5966
3.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3890,0.0000,0.0000,0.0000,0.0000,0.0000,1.4704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9435,0.0000,0.0000,0.0000,0.0000,1.5966
3.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3890,0.0000,0.0000,0.0000,0.0000,0.0000,1.4704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9435,0.0000,0.0000,0.0000,0.0000,1.5966
3.7000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3890,0.0000,0.0000,0.0000,0.0000,0.0000,1.4704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9435,0.0000,0.0000,0.0000,0.0000,1.5966
3.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3890,0.0000,0.0000,0.0000,0.0000,0.0000,1.4704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9435,0.0000,0.0000,0.0000,0.0000,1.5966
3.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3890,0.0000,0.0000,0.0000,0.0000,0.0000,1.4704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9435,0.0000,0.0000,0.0000,0.0000,1.5966
3.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3890,0.0000,0.0000,0.0000,0.0000,0.0000,1.4704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9435,0.0000,0.0000,0.0000,0.0000,1.5966
3.9000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3890,0.0000,0.0000,0.0000,0.0000,0.0000,1.4704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9435,0.0000,0.0000,0.0000,0.0000,1.5966
3.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3890,0.0000,0.0000,0.0000,0.0000,0.0000,1.4704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9435,0.0000,0.0000,0.0000,0.0000,1.5966
4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3890,0.0000,0.0000,0.0000,0.0000,0.0000,1.4704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9435,0.0000,0.0000,0.0000,0.0000,1.5966
4.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3890,0.0000,0.0000,0.0000,0.4027,0.3611,1.3852,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9435,0.0000,0.0000,0.0000,0.1947,1.5041
4.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3890,0.0000,0.0000,0.0000,2.2073,1.9792,1.0036,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9435,0.0000,0.0000,0.0000,1.0671,1.0898
4.1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3890,0.0000,0.0000,0.0000,4.7462,4.2557,0.4668,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9435,0.0000,0.0000,0.0000,2.2945,0.5068
4.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3890,0.0000,0.0000,0.0000,6.5508,5.8737,0.0852,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9435,0.0000,0.0000,0.0000,3.1669,0.0925
4.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3890,0.0000,0.0000,0.0000,6.9535,6.2348,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9435,0.0000,0.0000,0.0000,3.3616,0.0000
4.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3890,0.0000,0.0000,0.0000,6.9535,6.2348,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9435,0.0000,0.0000,0.0000,3.3616,0.0000
4.3500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3890,0.0000,0.0000,0.0000,6.9535,6.2348,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9435,0.0000,0.0000,0.0000,3.3616,0.0000
4.4000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3890,0.0000,0.0000,0.0000,6.9535,6.2348,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9435,0.0000,0.0000,0.0000,3.3616,0.0000
4.4500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3890,0.0000,0.0000,0.0000,6.9535,6.2348,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9435,0.0000,0.0000,0.0000,3.3616,0.0000
4.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3890,0.0000,0.0000,0.0000,6.9535,6.2348,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9435,0.0000,0.0000,0.0000,3.3616,0.0000
4.5500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3086,0.0000,0.0000,0.0000,6.5508,8.3839,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9435,0.0000,0.0000,0.0000,4.0566,0.7208
4.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9481,0.0000,0.0000,0.0000,4.7462,18.0132,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9435,0.0000,0.0000,0.0000,7.1709,3.9505
4.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4409,0.0000,0.0000,0.0000,2.2073,31.5608,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9435,0.0000,0.0000,0.0000,11.5523,8.4944
